Match,Home Team,Away Team,Home Goals,Away Goals,Home Conceded,Away Conceded,Home Result,Away Result,Season
1,Burnley,Man City,0,3,3,0,L,W,23/24
1,Arsenal,Nottm Forest,2,1,1,2,W,L,23/24
1,Sheffield United,Crystal Palace,0,1,1,0,L,W,23/24
1,Bournemouth,West Ham,1,1,1,1,D,D,23/24
1,Brighton,Luton,4,1,1,4,W,L,23/24
1,Everton,Fulham,0,1,1,0,L,W,23/24
1,Newcastle,Aston Villa,5,1,1,5,W,L,23/24
1,Brentford,Tottenham,2,2,2,2,D,D,23/24
1,Chelsea,Liverpool,1,1,1,1,D,D,23/24
1,Man United,Wolves,1,0,0,1,W,L,23/24
2,Nottm Forest,Sheffield United,2,1,1,2,W,L,23/24
2,Fulham,Brentford,0,3,3,0,L,W,23/24
2,Liverpool,Bournemouth,3,1,1,3,W,L,23/24
2,Wolves,Brighton,1,4,4,1,L,W,23/24
2,Tottenham,Man United,2,0,0,2,W,L,23/24
2,Man City,Newcastle,1,0,0,1,W,L,23/24
2,Aston Villa,Everton,4,0,0,4,W,L,23/24
2,West Ham,Chelsea,3,1,1,3,W,L,23/24
2,Crystal Palace,Arsenal,0,1,1,0,L,W,23/24
3,Chelsea,Luton,3,0,0,3,W,L,23/24
3,Bournemouth,Tottenham,0,2,2,0,L,W,23/24
3,Brentford,Crystal Palace,1,1,1,1,D,D,23/24
3,Arsenal,Fulham,2,2,2,2,D,D,23/24
3,Man United,Nottm Forest,3,2,2,3,W,L,23/24
3,Everton,Wolves,0,1,1,0,L,W,23/24
3,Brighton,West Ham,1,3,3,1,L,W,23/24
3,Sheffield United,Man City,1,2,2,1,L,W,23/24
3,Burnley,Aston Villa,1,3,3,1,L,W,23/24
3,Newcastle,Liverpool,1,2,2,1,L,W,23/24
4,Luton,West Ham,1,2,2,1,L,W,23/24
4,Sheffield United,Everton,2,2,2,2,D,D,23/24
4,Man City,Fulham,5,1,1,5,W,L,23/24
4,Chelsea,Nottm Forest,0,1,1,0,L,W,23/24
4,Burnley,Tottenham,2,5,5,2,L,W,23/24
4,Brentford,Bournemouth,2,2,2,2,D,D,23/24
4,Brighton,Newcastle,3,1,1,3,W,L,23/24
4,Crystal Palace,Wolves,3,2,2,3,W,L,23/24
4,Liverpool,Aston Villa,3,0,0,3,W,L,23/24
4,Arsenal,Man United,3,1,1,3,W,L,23/24
5,Wolves,Liverpool,1,3,3,1,L,W,23/24
5,Fulham,Luton,1,0,0,1,W,L,23/24
5,Tottenham,Sheffield United,2,1,1,2,W,L,23/24
5,West Ham,Man City,1,3,3,1,L,W,23/24
5,Man United,Brighton,1,3,3,1,L,W,23/24
5,Aston Villa,Crystal Palace,3,1,1,3,W,L,23/24
5,Newcastle,Brentford,1,0,0,1,W,L,23/24
5,Bournemouth,Chelsea,0,0,0,0,D,D,23/24
5,Everton,Arsenal,0,1,1,0,L,W,23/24
5,Nottm Forest,Burnley,1,1,1,1,D,D,23/24
6,Crystal Palace,Fulham,0,0,0,0,D,D,23/24
6,Man City,Nottm Forest,2,0,0,2,W,L,23/24
6,Luton,Wolves,1,1,1,1,D,D,23/24
6,Brentford,Everton,1,3,3,1,L,W,23/24
6,Burnley,Man United,0,1,1,0,L,W,23/24
6,Chelsea,Aston Villa,0,1,1,0,L,W,23/24
6,Arsenal,Tottenham,2,2,2,2,D,D,23/24
6,Liverpool,West Ham,3,1,1,3,W,L,23/24
6,Brighton,Bournemouth,3,1,1,3,W,L,23/24
6,Sheffield United,Newcastle,0,8,8,0,L,W,23/24
7,Aston Villa,Brighton,6,1,1,6,W,L,23/24
7,Man United,Crystal Palace,0,1,1,0,L,W,23/24
7,Newcastle,Burnley,2,0,0,2,W,L,23/24
7,Wolves,Man City,2,1,1,2,W,L,23/24
7,Bournemouth,Arsenal,0,4,4,0,L,W,23/24
7,West Ham,Sheffield United,2,0,0,2,W,L,23/24
7,Everton,Luton,1,2,2,1,L,W,23/24
7,Tottenham,Liverpool,2,1,1,2,W,L,23/24
7,Nottm Forest,Brentford,1,1,1,1,D,D,23/24
